LocationDetailsId	Neighborhoods	Zipcode	Location
SD021553	Mission	94110	"(37.758064483023226, -122.40806593980345)"
SD021554	Visitacion Valley	94134	"(37.714742911583706, -122.39975762802271)"
SD021555	West of Twin Peaks	94127	"(37.7388303980234, -122.44675990503683)"
SD021556	Outer Richmond	94121	"(37.77711192628162, -122.50224593740374)"
SD021557	Inner Sunset	94116	"(37.75261492098698, -122.46642334816649)"
SD021558	Marina	94123	"(37.80315450877407, -122.44662995025055)"
SD021559	Oceanview/Merced/Ingleside	94112	"(37.72387473105809, -122.4588754253846)"
SD021560	Sunset/Parkside	94116	"(37.743285502134896, -122.50332237918765)"
SD021561	Inner Sunset	94122	"(37.76278083273086, -122.46112017195262)"
SD021562	Western Addition	94109	"(37.78887682773235, -122.42431742427411)"
SD021563	Lone Mountain/USF	94118	"(37.779320434116656, -122.4540386444949)"
SD021564	West of Twin Peaks	94131	"(37.732574662308835, -122.43602287278078)"
SD021565	Sunset/Parkside	94116	"(37.740794333579636, -122.50634174894796)"
SD021566	Excelsior	94112	"(37.72447071159079, -122.4281218870611)"
SD021567	Inner Sunset	94117	"(37.76557896125457, -122.45394010175508)"
SD021568	Sunset/Parkside	94116	"(37.7440919111031, -122.47717033830438)"
SD021569	Castro/Upper Market	94114	"(37.76885988908807, -122.42987536539826)"
SD021570	Chinatown	94108	"(37.7942816259781, -122.4071113670404)"
SD021571	Haight Ashbury	94117	"(37.7676761317343, -122.45290416048003)"
SD021572	Castro/Upper Market	94114	"(37.76254133266181, -122.44168893646334)"
SD021573	Visitacion Valley	94134	"(37.71071547292117, -122.4069337189366)"
SD021574	Inner Sunset	94116	"(37.74973733662819, -122.4671301493082)"
SD021575	Bayview Hunters Point	94124	"(37.73116278382555, -122.39234923603479)"
SD021576	Castro/Upper Market	94114	"(37.75714941753845, -122.435444233812)"
SD021577	Lakeshore	94132	"(37.73094174504787, -122.47911365344676)"
SD021578	Chinatown	94111	"(37.79581087386571, -122.40315723144468)"
SD021579	Hayes Valley	94102	"(37.776426556378844, -122.42861589717936)"
SD021580	Outer Richmond	94121	"(37.78174332129836, -122.48022478025125)"
SD021581	Marina	94123	"(37.79883277623629, -122.44564180304366)"
SD021582	Sunset/Parkside	94122	"(37.75232911512804, -122.50246443375318)"
SD021583	Oceanview/Merced/Ingleside	94112	"(37.71935352319694, -122.4619395891917)"
SD021584	Russian Hill	94133	"(37.802760671883625, -122.41675582220073)"
SD021585	North Beach	94133	"(37.80312364727059, -122.41384820981806)"
SD021586	Marina	94123	"(37.79776160938858, -122.42492548966494)"
SD021587	Marina	94123	"(37.80318643632759, -122.43940362219807)"
SD021588	Castro/Upper Market	94114	"(37.764356007630376, -122.44251961522573)"
SD021589	Mission	94110	"(37.7602545483005, -122.42395416283242)"
SD021590	West of Twin Peaks	94132	"(37.72352444352791, -122.47459207485271)"
SD021591	Sunset/Parkside	94122	"(37.76071152044926, -122.48370394765082)"
SD021592	Mission	94110	"(37.7501462544922, -122.41520212074414)"
SD021593	Mission	94110	"(37.74973268043281, -122.41627232271253)"
SD021594	Castro/Upper Market	94114	"(37.76183917719288, -122.42990061772184)"
SD021595	Mission	94110	"(37.755626556160514, -122.41010876042805)"
SD021596	Sunset/Parkside	94122	"(37.75908051585742, -122.50508795293855)"
SD021597	Potrero Hill	94107	"(37.76403653042476, -122.39794825751795)"
SD021598	Outer Richmond	94121	"(37.7750915645418, -122.47766256623576)"
SD021599	Noe Valley	94114	"(37.754388857397274, -122.42688522391957)"
SD021600	Mission	94110	"(37.759189233607074, -122.42036035448554)"
SD021601	Hayes Valley	94102	"(37.77189609758703, -122.42741445646976)"
SD021602	Bernal Heights	94110	"(37.740094647791175, -122.41171843937934)"
SD021603	Castro/Upper Market	94114	"(37.761104714340874, -122.44336931425487)"
SD021604	Presidio Heights	94118	"(37.788229433691754, -122.45566131803362)"
SD021605	North Beach	94133	"(37.79872375305016, -122.40618511948227)"
SD021606	Sunset/Parkside	94122	"(37.75296431811004, -122.49432903715464)"
SD021607	Mission	94110	"(37.75374866525661, -122.41341685124128)"
SD021608	Inner Richmond	94118	"(37.77626961895922, -122.46146219241254)"
SD021609	South of Market	94103	"(37.77238494584227, -122.40492510672313)"
SD021610	Marina	94123	"(37.80090763068362, -122.42582995380272)"
SD021611	Pacific Heights	94115	"(37.79407443561547, -122.43406787353173)"
SD021612	Castro/Upper Market	94114	"(37.75942952076692, -122.43566148290844)"
SD021613	Bernal Heights	94110	"(37.745370577344296, -122.41890959563607)"
SD021614	Mission	94110	"(37.75854668603653, -122.42323202020013)"
SD021615	Outer Mission	94112	"(37.72888998884143, -122.4404745817712)"
SD021616	Sunset/Parkside	94116	"(37.73496006495195, -122.49745065473263)"
SD021617	Sunset/Parkside	94122	"(37.753525990451294, -122.4832004306379)"
SD021618	South of Market	94103	"(37.779222586914074, -122.41340900261038)"
SD021619	Outer Richmond	94121	"(37.77420730014684, -122.49460742448579)"
SD021620	Outer Mission	94112	"(37.72097925422836, -122.43797680850986)"
SD021621	Noe Valley	94114	"(37.750449271082346, -122.42866489194422)"
SD021622	Outer Richmond	94121	"(37.77752939547847, -122.4863715701679)"
SD021623	West of Twin Peaks	94127	"(37.73779489995859, -122.4489065177961)"
SD021624	Bernal Heights	94110	"(37.74160641097615, -122.41858698253802)"
SD021625	Bayview Hunters Point	94124	"(37.73414520666553, -122.39927351903579)"
SD021626	Marina	94123	"(37.80405755225746, -122.43490938681028)"
SD021627	Noe Valley	94110	"(37.74528695316778, -122.42295725456873)"
SD021628	Presidio Heights	94115	"(37.78633907353429, -122.44406907357893)"
SD021629	Sunset/Parkside	94122	"(37.764190723109515, -122.48179674335414)"
SD021630	West of Twin Peaks	94127	"(37.737314821087345, -122.45217015972187)"
SD021631	Financial District/South Beach	94108	"(37.79059394141542, -122.40692056312477)"
SD021632	Tenderloin	94102	"(37.78122192372486, -122.41665125076482)"
SD021633	Castro/Upper Market	94114	"(37.757817651575714, -122.44704412202303)"
SD021634	Nob Hill	94109	"(37.79635808875569, -122.41582398483158)"
SD021635	Visitacion Valley	94134	"(37.71299814209315, -122.4017345833962)"
SD021636	Inner Sunset	94122	"(37.764147914003516, -122.47534798466208)"
SD021637	Russian Hill	94109	"(37.798180231526025, -122.42155967012422)"
SD021638	Bayview Hunters Point	94124	"(37.72015501334039, -122.39265891231139)"
SD021639	Chinatown	94133	"(37.797085505015005, -122.40747265523848)"
SD021640	Castro/Upper Market	94114	"(37.7613373659908, -122.43425131743967)"
SD021641	Haight Ashbury	94117	"(37.7630111626369, -122.44527666815898)"
SD021642	Pacific Heights	94115	"(37.793257058489786, -122.4394318117685)"
SD021643	Castro/Upper Market	94114	"(37.76208442871516, -122.43864141208685)"
SD021644	Outer Mission	94112	"(37.72703381515403, -122.44315844914848)"
SD021645	North Beach	94133	"(37.80121100824148, -122.40672004072474)"
SD021646	Inner Richmond	94118	"(37.77669460191508, -122.46149292045872)"
SD021647	Oceanview/Merced/Ingleside	94112	"(37.72269795471586, -122.45100655634081)"
SD021648	West of Twin Peaks	94116	"(37.747813018645004, -122.47247434652924)"
SD021649	Visitacion Valley	94134	"(37.7096491936085, -122.40545047228018)"
SD021650	Nob Hill	94108	"(37.79271005658403, -122.4132655012919)"
SD021651	Russian Hill	94133	"(37.80140586834303, -122.41864238717703)"
SD021652	Financial District/South Beach	94105	"(37.791371964488945, -122.39381184840431)"
SD021653	Haight Ashbury	94117	"(37.771485312933756, -122.44847183198662)"
SD021654	Sunset/Parkside	94116	"(37.7459225082679, -122.50102174748598)"
SD021655	Sunset/Parkside	94122	"(37.75843429441555, -122.48825730630472)"
SD021656	Oceanview/Merced/Ingleside	94112	"(37.715186549799355, -122.45523702186469)"
SD021657	West of Twin Peaks	94127	"(37.743089265018405, -122.4568033488854)"
SD021658	West of Twin Peaks	94127	"(37.73124273551839, -122.46172992415465)"
SD021659	Hayes Valley	94117	"(37.77467992967604, -122.43130624082646)"
SD021660	Presidio Heights	94118	"(37.78536061140603, -122.45176566241264)"
SD021661	Inner Sunset	94122	"(37.75552336027685, -122.4729852023597)"
SD021662	Bayview Hunters Point	94124	"(37.72943348022374, -122.36912778756982)"
SD021663	Sunset/Parkside	94122	"(37.75387776420628, -122.50827338177389)"
SD021664	Haight Ashbury	94117	"(37.77051655910044, -122.4337422825284)"
SD021665	Haight Ashbury	94117	"(37.76333104154136, -122.45201205583837)"
SD021666	Potrero Hill	94107	"(37.7578270193522, -122.40256347096889)"
SD021667	Russian Hill	94109	"(37.79726450765471, -122.42115011446978)"
SD021668	Lone Mountain/USF	94117	"(37.77431168526652, -122.44842725403994)"
SD021669	Mission	94103	"(37.765759370711926, -122.42298945350687)"
SD021670	Sunset/Parkside	94116	"(37.73999669095659, -122.4837474222739)"
SD021671	Excelsior	94112	"(37.72010805249225, -122.42993190612125)"
SD021672	Mission	94110	"(37.7522698324381, -122.40556727139729)"
SD021673	Inner Sunset	94122	"(37.765448989919705, -122.47044259757189)"
SD021674	Sunset/Parkside	94116	"(37.750891291684205, -122.49269098944707)"
SD021675	Sunset/Parkside	94116	"(37.73659546860572, -122.50044900778506)"
SD021676	Sunset/Parkside	94132	"(37.735284635023575, -122.4809638287337)"
SD021677	Sunset/Parkside	94122	"(37.76061648737772, -122.4938973302288)"
SD021678	Twin Peaks	94114	"(37.75613798981119, -122.44264682524646)"
SD021679	Marina	94123	"(37.79822185248451, -122.43692886355029)"
SD021680	Mission	94110	"(37.76129948627009, -122.42185698119796)"
SD021681	Sunset/Parkside	94122	"(37.757148076589885, -122.50089992660375)"
SD021682	Mission	94110	"(37.76149953659302, -122.41058132973386)"
SD021683	Outer Richmond	94118	"(37.78219098505814, -122.4756670134846)"
SD021684	West of Twin Peaks	94112	"(37.72695364906134, -122.45621641400038)"
SD021685	Lone Mountain/USF	94118	"(37.780741321533505, -122.45325791149502)"
SD021686	Outer Richmond	94121	"(37.77220251730597, -122.49778319604145)"
SD021687	Mission	94110	"(37.755279239064585, -122.42353914857111)"
SD021688	Excelsior	94112	"(37.72662272806975, -122.42719222123482)"
SD021689	Noe Valley	94114	"(37.75322092613036, -122.42565501050086)"
SD021690	Mission	94110	"(37.75906420350739, -122.40928405947697)"
SD021691	Excelsior	94112	"(37.73072492225971, -122.42452948575585)"
SD021692	Inner Sunset	94122	"(37.76037304227104, -122.46793892426649)"
SD021693	Inner Sunset	94122	"(37.764049026919835, -122.46280716024438)"
SD021694	Noe Valley	94114	"(37.75158724917003, -122.42549308109584)"
SD021695	Inner Richmond	94118	"(37.78697692377761, -122.46345856581883)"
SD021696	Marina	94123	"(37.79794910811445, -122.4404826442389)"
SD021697	Castro/Upper Market	94114	"(37.76571932053435, -122.44020175779681)"
SD021698	Sunset/Parkside	94116	"(37.745881646390096, -122.48374297860876)"
SD021699	Bernal Heights	94110	"(37.73606574176706, -122.4197339584413)"
SD021700	Outer Richmond	94121	"(37.7725275162219, -122.49956240832542)"
SD021701	Mission	94110	"(37.75598257116876, -122.4147621685984)"
SD021702	Noe Valley	94131	"(37.747894284233304, -122.43302001972377)"
SD021703	Western Addition	94115	"(37.7787406206043, -122.4416044525749)"
SD021704	Bernal Heights	94110	"(37.74081634013735, -122.40980607505284)"
SD021705	Sunset/Parkside	94116	"(37.74328567643923, -122.48612689060225)"
SD021706	South of Market	94103	"(37.77182416570455, -122.40828573376868)"
SD021707	Bernal Heights	94110	"(37.7458393058749, -122.41919002325812)"
SD021708	Outer Richmond	94121	"(37.7732802072924, -122.4824226418869)"
SD021709	Bernal Heights	94112	"(37.73385244500296, -122.42585009717213)"
SD021710	Pacific Heights	94109	"(37.79488452773437, -122.42776500507567)"
SD021711	South of Market	94103	"(37.77150756774934, -122.41092035296963)"
SD021712	Sunset/Parkside	94116	"(37.74733682333291, -122.50013080169671)"
SD021713	Oceanview/Merced/Ingleside	94112	"(37.720554921939524, -122.45849422142739)"
SD021714	Castro/Upper Market	94114	"(37.76399931909803, -122.44072623313235)"
SD021715	Inner Richmond	94118	"(37.777333068190146, -122.46651578736746)"
SD021716	Sunset/Parkside	94122	"(37.75992004227587, -122.49697935360591)"
SD021717	West of Twin Peaks	94132	"(37.73516423517322, -122.47235150928495)"
SD021718	Russian Hill	94133	"(37.801416087819504, -122.41801492470333)"
SD021719	Chinatown	94133	"(37.79808627975905, -122.41130483667767)"
SD021720	Mission	94110	"(37.76085699064269, -122.42051930864241)"
SD021721	Mission	94103	"(37.77281756090101, -122.41628425692485)"
SD021722	Portola	94134	"(37.72183554205486, -122.41127492547758)"
SD021723	Marina	94123	"(37.79688480763991, -122.4334027354201)"
SD021724	Visitacion Valley	94134	"(37.71047809883518, -122.40665128706308)"
SD021725	Outer Mission	94112	"(37.722678820315366, -122.44186183427796)"
SD021726	Chinatown	94111	"(37.79471013338979, -122.40194964201592)"
SD021727	Lone Mountain/USF	94118	"(37.778021998782606, -122.45639293686467)"
SD021728	Haight Ashbury	94117	"(37.77058208279278, -122.45176661658203)"
SD021729	Mission	94110	"(37.75771560998195, -122.42501503491046)"
SD021730	Oceanview/Merced/Ingleside	94132	"(37.71313641990662, -122.46959097130558)"
SD021731	Oceanview/Merced/Ingleside	94132	"(37.71574730330541, -122.46379359000315)"
SD021732	Marina	94123	"(37.804213081010985, -122.44228052289546)"
SD021733	Twin Peaks	94131	"(37.75374095058332, -122.4427878508331)"
SD021734	Oceanview/Merced/Ingleside	94132	"(37.71592501108769, -122.46302592415464)"
SD021735	Pacific Heights	94115	"(37.78648913452291, -122.43364856030942)"
SD021736	Mission	94110	"(37.760613043027156, -122.41066777646925)"
SD021737	Mission	94103	"(37.767093966979125, -122.41626193941957)"
SD021738	Presidio Heights	94118	"(37.78356725139279, -122.4542510829742)"
SD021739	West of Twin Peaks	94127	"(37.74323008512494, -122.46030669377524)"
SD021740	Castro/Upper Market	94114	"(37.7664064013405, -122.4377368165254)"
SD021741	Castro/Upper Market	94114	"(37.760442337877265, -122.43575798951764)"
SD021742	Noe Valley	94131	"(37.74579725914631, -122.44504867474372)"
SD021743	Russian Hill	94109	"(37.7966327429974, -122.41806636505041)"
SD021744	Portola	94134	"(37.72626106503194, -122.4027442523418)"
SD021745	Glen Park	94131	"(37.73714625027453, -122.42958300770832)"
SD021746	Bernal Heights	94110	"(37.74543081164813, -122.41189630182592)"
SD021747	Western Addition	94115	"(37.77827589257366, -122.43639817019529)"
SD021748	Hayes Valley	94117	"(37.77036233502145, -122.43063316923045)"
SD021749	Sunset/Parkside	94122	"(37.75467750903424, -122.49188188936519)"
SD021750	Outer Mission	94112	"(37.71959142077979, -122.44486897052161)"
SD021751	Outer Richmond	94118	"(37.779418552541316, -122.4753445967029)"
SD021752	Castro/Upper Market	94114	"(37.75991217410705, -122.43527218054297)"
SD021753	Sunset/Parkside	94116	"(37.7450762201182, -122.48798316861891)"
SD021754	Lone Mountain/USF	94115	"(37.778364967702935, -122.44323685816937)"
SD021755	Outer Richmond	94121	"(37.78308356873182, -122.49275477221428)"
SD021756	Noe Valley	94114	"(37.750594564725645, -122.43652647525641)"
SD021757	Oceanview/Merced/Ingleside	94112	"(37.72352189524596, -122.45941699576373)"
SD021758	Portola	94134	"(37.72182707623158, -122.40153328393774)"
SD021759	Marina	94123	"(37.79981990957818, -122.4459260131028)"
SD021760	West of Twin Peaks	94131	"(37.7321396295325, -122.43855858881673)"
SD021761	Excelsior	94112	"(37.72752983311729, -122.42649718295108)"
SD021762	Bernal Heights	94110	"(37.74715286528731, -122.41629720978852)"
SD021763	Glen Park	94131	"(37.73781752953869, -122.43494321083003)"
SD021764	Inner Richmond	94118	"(37.77385163895394, -122.46434911292428)"
SD021765	Bernal Heights	94110	"(37.73957426068288, -122.41048443931992)"
SD021766	Bernal Heights	94110	"(37.73542347328418, -122.423065835728)"
SD021767	West of Twin Peaks	94127	"(37.7258353803328, -122.46950497262122)"
SD021768	Outer Richmond	94118	"(37.778991841390614, -122.47413729262006)"
SD021769	South of Market	94103	"(37.781686839959136, -122.41032925914371)"
SD021770	West of Twin Peaks	94127	"(37.737261672679956, -122.46943285347096)"
SD021771	Marina	94123	"(37.80532341520384, -122.44101763934914)"
SD021772	Potrero Hill	94107	"(37.760883551978765, -122.39667733007093)"
SD021773	Bayview Hunters Point	94124	"(37.73619734213335, -122.39059845124325)"
SD021774	Mission	94103	"(37.76633803565175, -122.41944031591783)"
SD021775	Inner Sunset	94122	"(37.7647981075273, -122.47580846253601)"
SD021776	Pacific Heights	94115	"(37.789872352566036, -122.44269024886412)"
SD021777	Pacific Heights	94115	"(37.790582074286974, -122.44416576054932)"
SD021778	West of Twin Peaks	94127	"(37.74117176917754, -122.44993130136758)"
SD021779	West of Twin Peaks	94127	"(37.73604485122365, -122.4626275004016)"
SD021780	Bayview Hunters Point	94124	"(37.72747641405193, -122.3684517347075)"
SD021781	Haight Ashbury	94117	"(37.77011490745912, -122.4511719660874)"
SD021782	West of Twin Peaks	94112	"(37.72861774203274, -122.45543008502759)"
SD021783	Tenderloin	94102	"(37.77709912833556, -122.41883965530859)"
SD021784	Tenderloin	94102	"(37.78434157127371, -122.41167980859984)"
SD021785	West of Twin Peaks	94116	"(37.738582608743556, -122.47181620138028)"
SD021786	Hayes Valley	94102	"(37.775815992209466, -122.42558002580394)"
SD021787	Pacific Heights	94115	"(37.78868023256181, -122.4409015843373)"
SD021788	Inner Sunset	94122	"(37.760837880954654, -122.4636129545632)"
SD021789	Marina	94123	"(37.800274457902496, -122.42909266957275)"
SD021790	Excelsior	94112	"(37.714264749183776, -122.43700068048793)"
SD021791	Inner Sunset	94117	"(37.76598552075302, -122.45375965659986)"
SD021792	Russian Hill	94109	"(37.79486671378041, -122.41713593642937)"
SD021793	Noe Valley	94131	"(37.74754510835725, -122.42547062905672)"
SD021794	Inner Sunset	94122	"(37.76447248121583, -122.47578567387801)"
SD021795	Noe Valley	94114	"(37.75347956277216, -122.43374596310096)"
SD021796	Outer Richmond	94121	"(37.777867180806155, -122.50251408782334)"
SD021797	Mission	94110	"(37.75198168670647, -122.41117344534096)"
SD021798	West of Twin Peaks	94116	"(37.748904704564275, -122.46257627567854)"
SD021799	Outer Richmond	94118	"(37.78590086602969, -122.47628233630485)"
SD021800	Sunset/Parkside	94116	"(37.73787624824573, -122.48258643113137)"
SD021801	Visitacion Valley	94134	"(37.71343623325643, -122.41356081372135)"
SD021802	Lone Mountain/USF	94117	"(37.77381450867755, -122.45077998001614)"
SD021803	Hayes Valley	94102	"(37.77375430634287, -122.42772766160986)"
SD021804	Glen Park	94131	"(37.74008615572335, -122.43711860652037)"
SD021805	Tenderloin	94109	"(37.78417449497697, -122.42066687798541)"
SD021806	Mission	94103	"(37.768653846835825, -122.42256515217613)"
SD021807	Portola	94134	"(37.73078643565024, -122.40523669410383)"
SD021808	Outer Richmond	94121	"(37.775099714922895, -122.49028312181999)"
SD021809	Marina	94123	"(37.80208927752696, -122.43697071303717)"
SD021810	Outer Richmond	94121	"(37.77569346192597, -122.5031766524925)"
SD021811	Visitacion Valley	94134	"(37.718689210881664, -122.40121181958143)"
SD021812	Outer Richmond	94121	"(37.777682687474275, -122.50894549372696)"
SD021813	Noe Valley	94114	"(37.74817243209008, -122.43656550675803)"
SD021814	Outer Richmond	94121	"(37.779963425638286, -122.48078131973449)"
SD021815	Outer Richmond	94121	"(37.776048343508755, -122.49541289960587)"
SD021816	West of Twin Peaks	94131	"(37.7334253286355, -122.44404737177216)"
SD021817	Mission	94110	"(37.75984158907824, -122.4197611634431)"
SD021818	West of Twin Peaks	94127	"(37.73655082757465, -122.4702527417041)"
SD021819	Outer Richmond	94118	"(37.774660008232686, -122.47325153558518)"
SD021820	Visitacion Valley	94134	"(37.715597778667565, -122.40341297363598)"
SD021821	Russian Hill	94109	"(37.79673819653348, -122.4198788124666)"
SD021822	Excelsior	94112	"(37.7093462045655, -122.43428015783631)"
SD021823	Outer Mission	94112	"(37.72015910433759, -122.44015139990358)"
SD021824	West of Twin Peaks	94127	"(37.741630781357074, -122.44916353407291)"
SD021825	Lone Mountain/USF	94118	"(37.78034403331934, -122.45443317496282)"
SD021826	Bernal Heights	94110	"(37.74724019347839, -122.42092379977274)"
SD021827	Potrero Hill	94107	"(37.75650006167448, -122.40208906402623)"
SD021828	Inner Richmond	94118	"(37.78523927973331, -122.45951029674475)"
SD021829	Sunset/Parkside	94116	"(37.74023106842943, -122.50326029471748)"
SD021830	Nob Hill	94109	"(37.78778055906752, -122.41647579269514)"
SD021831	Mission	94110	"(37.74912953347749, -122.40944574656243)"
SD021832	Potrero Hill	94107	"(37.762366518729245, -122.40384106529818)"
SD021833	Oceanview/Merced/Ingleside	94112	"(37.71675841163765, -122.45025863648492)"
SD021834	Russian Hill	94109	"(37.79675104375826, -122.4208516725719)"
SD021835	Outer Richmond	94121	"(37.77300925457308, -122.48009741154408)"
SD021836	South of Market	94103	"(37.77588886559462, -122.41341287102625)"
SD021837	Twin Peaks	94131	"(37.74774832734774, -122.44556111095326)"
SD021838	West of Twin Peaks	94127	"(37.74632662615685, -122.45799550525776)"
SD021839	Inner Richmond	94118	"(37.78786274296712, -122.46087949644681)"
SD021840	Outer Richmond	94121	"(37.782609363237164, -122.48417226412964)"
SD021841	Mission	94110	"(37.75053773346552, -122.41793518956298)"
SD021842	Portola	94134	"(37.72336043405711, -122.4064778218711)"
SD021843	Mission	94110	"(37.7585623504214, -122.41818586398854)"
SD021844	South of Market	94107	"(37.779824753119286, -122.39435595952195)"
SD021845	South of Market	94103	"(37.77671334904626, -122.4127391049018)"
SD021846	Noe Valley	94131	"(37.74786293592343, -122.43355027207114)"
SD021847	Inner Sunset	94122	"(37.76548840264713, -122.45969197196776)"
SD021848	Noe Valley	94131	"(37.742204098283516, -122.43143579161044)"
SD021849	Outer Richmond	94118	"(37.78545776763312, -122.47619615233883)"
SD021850	Bayview Hunters Point	94124	"(37.74378364094087, -122.38903474683062)"
SD021851	Haight Ashbury	94117	"(37.76683423899464, -122.4474571059426)"
SD021852	Noe Valley	94114	"(37.75216907227411, -122.42882828173342)"
SD021853	Castro/Upper Market	94114	"(37.76479176175083, -122.44281143283206)"
SD021854	Inner Sunset	94122	"(37.762219070865214, -122.47628626555323)"
SD021855	Hayes Valley	94117	"(37.77218963567374, -122.43169353380384)"
SD021856	Glen Park	94131	"(37.73948196649886, -122.4379965540308)"
SD021857	Russian Hill	94133	"(37.8035965038338, -122.41599591787806)"
SD021858	Excelsior	94112	"(37.724735211538786, -122.42901071939073)"
SD021859	Financial District/South Beach	94105	"(37.78667541188778, -122.39270364997512)"
SD021860	Pacific Heights	94123	"(37.79407454942898, -122.43844011006927)"
SD021861	Oceanview/Merced/Ingleside	94132	"(37.71408511912362, -122.46290012026859)"
SD021862	Financial District/South Beach	94107	"(37.78184489803116, -122.39608674394445)"
SD021863	West of Twin Peaks	94112	"(37.73124397508545, -122.45056631677242)"
SD021864	Twin Peaks	94131	"(37.75497444878852, -122.448449030461)"
SD021865	Glen Park	94131	"(37.73419487090315, -122.43547232026089)"
SD021866	Chinatown	94133	"(37.799964269302095, -122.41154926790686)"
SD021867	Castro/Upper Market	94114	"(37.7580920562456, -122.44438619364195)"
SD021868	Hayes Valley	94102	"(37.77461833672043, -122.4286909667394)"
SD021869	Castro/Upper Market	94114	"(37.767120689131524, -122.42747964386213)"
SD021870	Haight Ashbury	94117	"(37.767128330907205, -122.44412235479165)"
SD021871	Chinatown	94133	"(37.797622135226604, -122.40655417850282)"
SD021872	Glen Park	94131	"(37.73674559537746, -122.43019511551852)"
SD021873	Inner Sunset	94122	"(37.764998977472096, -122.46497966197173)"
SD021874	Lakeshore	94132	"(37.71525033145008, -122.47612318538566)"
SD021875	North Beach	94133	"(37.80121325384768, -122.40529739232933)"
SD021876	Outer Richmond	94121	"(37.77255750563413, -122.4900081325076)"
SD021877	West of Twin Peaks	94127	"(37.73444423383305, -122.45622653768794)"
SD021878	Hayes Valley	94102	"(37.770917313811566, -122.42824632975734)"
SD021879	Mission	94110	"(37.75145926922178, -122.40773529097274)"
SD021880	Glen Park	94131	"(37.74057269745885, -122.42898994505606)"
SD021881	Outer Richmond	94121	"(37.77871622832635, -122.48173652652753)"
SD021882	Inner Richmond	94118	"(37.785817394681615, -122.46006017043308)"
SD021883	Seacliff	94121	"(37.787353032263475, -122.48554712004047)"
SD021884	Sunset/Parkside	94116	"(37.74059410562837, -122.47799777854244)"
SD021885	Noe Valley	94114	"(37.75190654938973, -122.42798793400328)"
SD021886	Potrero Hill	94107	"(37.761601260004255, -122.39806510224807)"
SD021887	Tenderloin	94109	"(37.78642704636896, -122.41778342536517)"
SD021888	West of Twin Peaks	94112	"(37.73073820258168, -122.45501723333649)"
SD021889	West of Twin Peaks	94127	"(37.735390841790526, -122.45301531545502)"
SD021890	Bernal Heights	94110	"(37.743683320809424, -122.4088115348982)"
SD021891	Japantown	94115	"(37.785261950442205, -122.43448080121948)"
SD021892	Bayview Hunters Point	94124	"(37.7341978646787, -122.39811588899943)"
SD021893	Hayes Valley	94102	"(37.779055456545635, -122.42093520572266)"
SD021894	West of Twin Peaks	94127	"(37.73102083591533, -122.46470238585749)"
SD021895	Sunset/Parkside	94132	"(37.73076344783553, -122.48921538223483)"
SD021896	Sunset/Parkside	94122	"(37.75510352262325, -122.48372803723618)"
SD021897	Noe Valley	94114	"(37.75105519113966, -122.4421098635359)"
SD021898	Visitacion Valley	94134	"(37.71146054289017, -122.405064390074)"
SD021899	Hayes Valley	94102	"(37.77580746496034, -122.42596418516501)"
SD021900	Sunset/Parkside	94122	"(37.75979392858273, -122.50447974731243)"
SD021901	Marina	94123	"(37.804912860803455, -122.44027360036479)"
SD021902	Tenderloin	94109	"(37.784813915300056, -122.41867729176516)"
SD021903	Sunset/Parkside	94122	"(37.75982618256577, -122.49910546006414)"
SD021904	Pacific Heights	94115	"(37.78914425812236, -122.42952541530131)"
SD021905	Excelsior	94112	"(37.73045396247937, -122.42075056746839)"
SD021906	Castro/Upper Market	94114	"(37.76791629482453, -122.42961140445769)"
SD021907	Potrero Hill	94107	"(37.76356714374219, -122.39812495928743)"
SD021908	Pacific Heights	94123	"(37.793681359464415, -122.44200210125295)"
SD021909	Castro/Upper Market	94114	"(37.762323206705986, -122.4413207821372)"
SD021910	Nob Hill	94109	"(37.78927208009936, -122.42121122967792)"
SD021911	Excelsior	94112	"(37.71686804343958, -122.43060337332024)"
SD021912	Inner Richmond	94118	"(37.78353695605818, -122.4630615689612)"
SD021913	Western Addition	94115	"(37.77900405977534, -122.43897369163493)"
SD021914	Mission	94110	"(37.752532267063316, -122.4213179872153)"
SD021915	Oceanview/Merced/Ingleside	94112	"(37.72054666283906, -122.46194208245004)"
SD021916	Marina	94123	"(37.80118732699234, -122.44512931353758)"
SD021917	Outer Richmond	94121	"(37.776009737621514, -122.49809089875002)"
SD021918	Hayes Valley	94117	"(37.77146344459468, -122.43076761438955)"
SD021919	Inner Richmond	94118	"(37.78475182858702, -122.46042857172672)"
SD021920	Lone Mountain/USF	94117	"(37.775620464433096, -122.44908988367624)"
SD021921	Excelsior	94112	"(37.72600481023897, -122.42656905133903)"
SD021922	Western Addition	94115	"(37.78208546803196, -122.44050910501156)"
SD021923	Mission	94110	"(37.754407902467804, -122.40681084731412)"
SD021924	Pacific Heights	94115	"(37.79361625189308, -122.43049139579762)"
SD021925	Castro/Upper Market	94114	"(37.7638231521088, -122.43898635359301)"
SD021926	Noe Valley	94114	"(37.74950797568531, -122.4391700867083)"
SD021927	Castro/Upper Market	94114	"(37.75655602124456, -122.43093134002899)"
SD021928	Noe Valley	94114	"(37.75460880115393, -122.43567677844568)"
SD021929	Castro/Upper Market	94114	"(37.76019756744074, -122.42878596257704)"
